Trial,Success Rate (%),Failure Rate (%),Throughput (req/s),Avg Latency (s),Load Variance,Batch Time (s),Successes,Failures,Total Requests,Error
1,97.00,3.00,11.87,0.3641,29214.8889,32.70,388,12,400,
2,95.50,4.50,11.34,0.3568,29936.8889,33.69,382,18,400,
3,100.00,0.00,10.64,0.3564,29205.5556,37.59,400,0,400,
4,100.00,0.00,11.27,0.3572,27769.5556,35.51,400,0,400,
5,100.00,0.00,10.52,0.3579,29444.2222,38.01,400,0,400,

SUMMARY STATISTICS
Metric,Value
Algorithm,RLAgent
Mode,model1
Total Trials,5
Valid Trials,5
Failed Trials,0

Success Rate Mean (%),98.50
Success Rate Std Dev (%),2.12
Success Rate Min (%),95.50
Success Rate Max (%),100.00
Failure Rate Mean (%),1.50
Failure Rate Std Dev (%),2.12
Failure Rate Min (%),0.00
Failure Rate Max (%),4.50

Throughput Mean (req/s),11.13
Throughput Std Dev (req/s),0.55
Throughput Min (req/s),10.52
Throughput Max (req/s),11.87

Avg Latency Mean (s),0.3585
Avg Latency Std Dev (s),0.0032
Avg Latency Min (s),0.3564
Avg Latency Max (s),0.3641

Load Variance Mean,29114.2222
Load Variance Std Dev,808.1282
Load Variance Min,27769.5556
Load Variance Max,29936.8889

Batch Time Mean (s),35.50
Batch Time Std Dev (s),2.33
Batch Time Min (s),32.70
Batch Time Max (s),38.01
