Trial,Success Rate (%),Failure Rate (%),Throughput (req/s),Avg Latency (s),Load Variance,Batch Time (s),Successes,Failures,Total Requests,Error
1,100.00,0.00,10.19,0.3553,28242.8889,39.24,400,0,400,
2,99.75,0.25,10.84,0.3587,26836.2222,36.82,399,1,400,
3,99.00,1.00,11.21,0.3602,31417.5556,35.33,396,4,400,
4,100.00,0.00,10.23,0.3603,28724.2222,39.10,400,0,400,
5,100.00,0.00,9.72,0.3600,29205.5556,41.14,400,0,400,

SUMMARY STATISTICS
Metric,Value
Algorithm,RLAgent
Mode,model3
Total Trials,5
Valid Trials,5
Failed Trials,0

Success Rate Mean (%),99.75
Success Rate Std Dev (%),0.43
Success Rate Min (%),99.00
Success Rate Max (%),100.00
Failure Rate Mean (%),0.25
Failure Rate Std Dev (%),0.43
Failure Rate Min (%),0.00
Failure Rate Max (%),1.00

Throughput Mean (req/s),10.44
Throughput Std Dev (req/s),0.59
Throughput Min (req/s),9.72
Throughput Max (req/s),11.21

Avg Latency Mean (s),0.3589
Avg Latency Std Dev (s),0.0021
Avg Latency Min (s),0.3553
Avg Latency Max (s),0.3603

Load Variance Mean,28885.2889
Load Variance Std Dev,1669.7485
Load Variance Min,26836.2222
Load Variance Max,31417.5556

Batch Time Mean (s),38.33
Batch Time Std Dev (s),2.27
Batch Time Min (s),35.33
Batch Time Max (s),41.14
